"Journal Data Filtered By:  Selected JCR Year: 2016 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,,,,,,,,,,,,,,
Rank,Full Journal Title,JCR Abbreviated Title,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,,Average Journal Impact Factor Percentile,Normalized Eigenfactor
1,CA-A CANCER JOURNAL FOR CLINICIANS,CA-CANCER J CLIN,0007-9235,"24,539",187.040,186.180,160.239,57.259,27,3.7,5.5,0.064520,41.156,51.850,,99.770,7.40156
2,NEW ENGLAND JOURNAL OF MEDICINE,NEW ENGL J MED,0028-4793,"315,143",72.406,71.699,64.201,16.637,328,8.3,4.7,0.699890,27.775,85.980,,99.677,80.30179
3,NATURE REVIEWS DRUG DISCOVERY,NAT REV DRUG DISCOV,1474-1776,"28,750",57.000,56.392,49.643,8.474,38,7.0,5.2,0.060770,18.614,21.050,,99.746,6.96985
4,CHEMICAL REVIEWS,CHEM REV,0009-2665,"159,155",47.928,47.317,50.950,10.509,277,7.8,7.7,0.246550,15.143,0.000,,99.699,28.25768
5,LANCET,LANCET,0140-6736,"214,732",47.831,46.466,48.082,16.303,337,9.0,4.7,0.404230,19.450,79.230,,99.032,46.40078
6,NATURE REVIEWS MOLECULAR CELL BIOLOGY,NAT REV MOL CELL BIO,1471-0072,"40,565",46.602,46.356,43.310,6.018,57,8.0,5.7,0.095730,21.264,17.540,,99.737,10.97353
7,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,JAMA-J AM MED ASSOC,0098-7484,"141,015",44.405,43.313,38.209,12.46,213,>10.0,5.8,0.280350,17.752,76.060,,98.387,32.18951
8,NATURE BIOTECHNOLOGY,NAT BIOTECHNOL,1087-0156,"53,992",41.667,40.667,46.223,7.542,118,6.8,4.6,0.169730,23.889,98.310,,99.063,19.47206
9,NATURE REVIEWS GENETICS,NAT REV GENET,1471-0056,"32,654",40.282,39.673,42.442,7.52,50,6.8,4.5,0.102400,22.319,12.000,,99.701,11.74993
10,NATURE,NATURE,0028-0836,"671,254",40.137,39.533,43.769,9.129,879,>10.0,6.0,1.432570,22.987,95.900,,99.219,164.32121
11,NATURE REVIEWS IMMUNOLOGY,NAT REV IMMUNOL,1474-1733,"34,948",39.932,39.568,43.498,5.722,54,7.2,5.4,0.092920,20.381,11.110,,99.669,10.65803
12,NATURE MATERIALS,NAT MATER,1476-1122,"81,831",39.737,39.384,47.494,8.331,172,6.5,6.0,0.203970,18.934,97.090,,99.598,23.37910
13,Nature Nanotechnology,NAT NANOTECHNOL,1748-3387,"48,814",38.986,38.497,44.323,8.209,148,5.0,5.7,0.172410,18.163,93.240,,99.440,19.76899
14,CHEMICAL SOCIETY REVIEWS,CHEM SOC REV,0306-0012,"113,731",38.618,38.220,39.278,7.703,273,4.6,5.9,0.284110,10.529,0.000,,99.096,32.57437
15,Nature Photonics,NAT PHOTONICS,1749-4885,"35,595",37.852,37.309,38.910,6.826,121,4.4,5.2,0.125980,14.647,95.040,,99.222,14.44674
16,SCIENCE,SCIENCE,0036-8075,"606,635",37.205,36.688,38.062,9.278,806,>10.0,5.4,1.158230,19.174,92.180,,97.656,132.83853
17,NATURE REVIEWS CANCER,NAT REV CANCER,1474-175X,"46,017",37.147,36.767,47.887,5.804,56,8.2,5.9,0.084880,18.501,3.570,,99.309,9.73431
18,REVIEWS OF MODERN PHYSICS,REV MOD PHYS,0034-6861,"45,510",36.917,36.750,45.547,6.634,41,>10.0,8.2,0.069640,23.851,100.000,,99.367,7.98267
19,LANCET ONCOLOGY,LANCET ONCOL,1470-2045,"38,110",33.900,33.250,31.194,7.722,169,4.4,4.7,0.121840,11.131,84.020,,98.848,13.97205
20,PROGRESS IN MATERIALS SCIENCE,PROG MATER SCI,0079-6425,"10,521",31.140,31.020,35.942,4.041,49,7.5,8.2,0.016710,9.601,0.000,,99.091,1.91585
21,Annual Review of Astronomy and Astrophysics,ANNU REV ASTRON ASTR,0066-4146,"9,417",30.733,30.433,35.725,2.333,18,>10.0,8.1,0.020660,20.819,0.000,,99.206,2.37039
22,CELL,CELL,0092-8674,"217,952",30.410,29.638,34.103,6.358,455,9.1,5.3,0.593980,20.067,86.810,,99.519,68.14412
23,NATURE MEDICINE,NAT MED,1078-8956,"70,491",29.886,29.476,32.261,6.701,157,8.1,5.0,0.178470,14.878,96.820,,99.259,20.47254
24,Energy & Environmental Science,ENERG ENVIRON SCI,1754-5692,"59,187",29.518,28.675,24.781,6.751,325,3.8,4.3,0.186110,6.242,89.850,,99.340,21.34373
25,Living Reviews in Relativity,LIVING REV RELATIV,1433-8351,"2,186",29.300,29.100,24.974,40.5,2,6.3,>10.0,0.006820,12.480,0.000,,98.276,0.78167
26,MATERIALS SCIENCE & ENGINEERING R-REPORTS,MAT SCI ENG R,0927-796X,"6,361",29.280,29.080,24.745,5.083,12,>10.0,5.5,0.005490,6.938,0.000,,98.519,0.62935
27,NATURE REVIEWS NEUROSCIENCE,NAT REV NEUROSCI,1471-003X,"36,952",28.880,28.581,37.257,5.509,57,8.4,6.6,0.071230,17.196,7.020,,99.807,8.17902
28,Annual Review of Immunology,ANNU REV IMMUNOL,0732-0582,"17,290",28.396,28.167,39.683,5.174,23,9.5,7.0,0.036400,20.578,0.000,,99.007,4.17223
29,NATURE GENETICS,NAT GENET,1061-4036,"88,954",27.959,27.173,31.694,4.776,196,8.0,5.3,0.241290,16.447,100.000,,99.102,27.70467
30,CANCER CELL,CANCER CELL,1535-6108,"32,653",27.407,26.765,27.660,4.264,121,6.1,5.0,0.102790,12.785,95.870,,98.272,11.79442
31,PHYSIOLOGICAL REVIEWS,PHYSIOL REV,0031-9333,"25,952",27.312,27.172,34.628,4.639,36,>10.0,9.4,0.033170,13.408,0.000,,99.405,3.80663
32,Annual Review of Pathology-Mechanisms of Disease,ANNU REV PATHOL-MECH,1553-4006,"4,105",26.853,26.735,26.330,2.609,23,5.5,6.9,0.013040,9.962,0.000,,99.367,1.49339
33,NATURE REVIEWS MICROBIOLOGY,NAT REV MICROBIOL,1740-1526,"23,640",26.819,26.496,28.420,6.685,54,6.7,5.1,0.057910,11.912,20.370,,99.600,6.64794
34,World Psychiatry,WORLD PSYCHIATRY,1723-8617,"3,153",26.561,24.220,19.515,4.095,21,4.5,5.7,0.009500,6.674,95.240,,99.644,1.09114
34,World Psychiatry,WORLD PSYCHIATRY,1723-8617,"3,153",26.561,24.220,19.515,4.095,21,4.5,5.7,0.009500,6.674,95.240,,99.644,1.09114
36,LANCET NEUROLOGY,LANCET NEUROL,1474-4422,"24,566",26.284,25.546,25.612,5.516,91,6.1,5.0,0.065470,10.093,67.030,,99.742,7.52040
37,Nature Chemistry,NAT CHEM,1755-4330,"24,811",25.870,25.617,28.129,6.75,140,4.2,7.5,0.101390,11.225,95.710,,97.892,11.61645
38,PROGRESS IN POLYMER SCIENCE,PROG POLYM SCI,0079-6700,"22,723",25.766,25.495,32.367,5.091,44,7.1,6.7,0.029830,7.542,0.000,,99.419,3.42231
