Accession,suppdata_id,pi0,Type
GSE17970,GSE17970_supplemental_table_1.xls.gz,0.472168,anti-conservative
GSE17970,GSE17970_supplemental_table_1.xls.gz,0.472168,anti-conservative
GSE29992,GSE29992_Het1_KO2_expr.txt.gz,0.886619,bimodal
GSE32038,GSE32038_cds.diff.gz,0.074467,anti-conservative
GSE32038,GSE32038_cds_exp.diff.gz,0.999724,conservative
GSE32038,GSE32038_gene_exp.diff.gz,0.998495,conservative
GSE32038,GSE32038_isoform_exp.diff.gz,0.999795,conservative
GSE32038,GSE32038_splicing.diff.gz,0.061781,anti-conservative
GSE32038,GSE32038_tss_group_exp.diff.gz,0.999497,conservative
GSE33141,GSE33141_TopHatTranscriptsFPKM.xls.gz-sheet-mRNA-Transcripts-FPKM,0.972819,other
GSE33141,GSE33141_TopHatTranscriptsFPKM.xls.gz-sheet-Pseudogenes-FPKM,0.979054,other
GSE33265,GSE33265_gene_exp.diff.gz,0.938005,conservative
GSE33265,GSE33265_isoform_exp.diff.gz,0.949700,conservative
GSE33736,GSE33736_HAmCqG0_G8expression.txt.gz,0.595261,bimodal
GSE33782,GSE33782_gene_exp.diff.txt.gz,0.982665,conservative
GSE33782,GSE33782_isoform_exp.diff.txt.gz,0.949568,bimodal
GSE34097,GSE34097_aff2_genes_cufflinks.txt.gz,0.998130,conservative
GSE34097,GSE34097_aff3_genes_cufflinks.txt.gz,0.988090,bimodal
GSE34097,GSE34097_aff4_genes_cufflinks.txt.gz,0.951196,bimodal
GSE34274,GSE34274_Reads_Table_1_Original_RV_Mu1_RV_Mu3_RV_Wt1_RV_Wt2.expr.txt.gz,0.844369,anti-conservative
GSE34274,GSE34274_Reads_Table_1_Original_RV_Mu1_RV_Mu3_RV_Wt1_RV_Wt2.expr.txt.gz,0.771169,anti-conservative
GSE34274,GSE34274_Reads_Table_1_Original_RV_Mu1_RV_Mu3_RV_Wt1_RV_Wt2.expr.txt.gz,0.799155,anti-conservative
GSE34274,GSE34274_Reads_Table_1_Original_RV_Mu1_RV_Mu3_RV_Wt1_RV_Wt2.expr.txt.gz,0.747217,anti-conservative
GSE34274,GSE34274_Reads_Table_1_Original_RV_Mu1_RV_Mu3_RV_Wt1_RV_Wt2.expr.txt.gz,0.754990,anti-conservative
GSE34274,GSE34274_Reads_Table_1_Original_RV_Mu1_RV_Mu3_RV_Wt1_RV_Wt2.expr.txt.gz,0.778912,anti-conservative
GSE34329,GSE34329_processed_RNAseq_N_way_cuffdiff_combined_replicates_NIvIvPAvPS1145.diff.gz,0.962319,conservative
GSE35178,GSE35178_gene_exp.diff.gz,0.987514,conservative
GSE35178,GSE35178_isoform_exp.diff.gz,0.975065,conservative
GSE36005,GSE36005_emo_gene.diff.gz,0.997447,conservative
GSE36005,GSE36005_res_gene.diff.gz,0.998708,conservative
GSE36005,GSE36005_sus_gene.diff.gz,0.863957,bimodal
GSE36695,GSE36695_H1H9KSR_hfSFM.txt.gz,0.996344,conservative
GSE36695,GSE36695_H1H9KSR_SFM.txt.gz,0.994341,conservative
GSE36695,GSE36695_H1KSR_H1SFM.txt.gz,0.952788,bimodal
GSE36695,GSE36695_H1SFM_H9SFM.txt.gz,0.999888,conservative
GSE36695,GSE36695_H1SFM_hfSFM.txt.gz,0.999856,conservative
GSE36695,GSE36695_H9KSR_H9SFM.txt.gz,0.976420,bimodal
GSE36695,GSE36695_H9KSR_hfSFM.txt.gz,0.997169,conservative
GSE36695,GSE36695_H9SFM_hfSFM.txt.gz,0.999212,conservative
GSE36710,GSE36710_RBFOX1_Splicing_Events.txt.gz,0.886120,conservative
GSE36781,GSE36781_gene_exp_diff.txt.gz,0.962530,anti-conservative
GSE36866,GSE36866_gene_exp.diff.gz,0.979060,conservative
GSE36959,GSE36959_gene_exp_diff.txt.gz,0.641003,anti-conservative
GSE37682,GSE37682_RAW.txt.gz,0.686887,anti-conservative
GSE37703,GSE37703_hiseq_cuffdiff_cds.diff.gz,0.704031,conservative
GSE37703,GSE37703_hiseq_cuffdiff_cds.diff.gz,0.704031,conservative
GSE37703,GSE37703_hiseq_cuffdiff_cds_exp.diff.gz,0.948107,bimodal
GSE37703,GSE37703_hiseq_cuffdiff_cds_exp.diff.gz,0.948107,bimodal
GSE37703,GSE37703_hiseq_cuffdiff_gene_exp.diff.gz,0.803240,bimodal
GSE37703,GSE37703_hiseq_cuffdiff_gene_exp.diff.gz,0.803240,bimodal
GSE37703,GSE37703_hiseq_cuffdiff_isoform_exp.diff.gz,0.962442,conservative
GSE37703,GSE37703_hiseq_cuffdiff_isoform_exp.diff.gz,0.962442,conservative
GSE37703,GSE37703_hiseq_cuffdiff_promoters.diff.gz,0.779476,conservative
GSE37703,GSE37703_hiseq_cuffdiff_promoters.diff.gz,0.779476,conservative
GSE37703,GSE37703_hiseq_cuffdiff_splicing.diff.gz,0.612118,conservative
GSE37703,GSE37703_hiseq_cuffdiff_splicing.diff.gz,0.612118,conservative
GSE37703,GSE37703_hiseq_cuffdiff_tss_group_exp.diff.gz,0.906581,bimodal
GSE37703,GSE37703_hiseq_cuffdiff_tss_group_exp.diff.gz,0.906581,bimodal
GSE37703,GSE37703_miseq_cuffdiff_cds.diff.gz,0.627350,conservative
GSE37703,GSE37703_miseq_cuffdiff_cds.diff.gz,0.627350,conservative
GSE37703,GSE37703_miseq_cuffdiff_cds_exp.diff.gz,0.984896,conservative
GSE37703,GSE37703_miseq_cuffdiff_cds_exp.diff.gz,0.984896,conservative
GSE37703,GSE37703_miseq_cuffdiff_gene_exp.diff.gz,0.931408,bimodal
GSE37703,GSE37703_miseq_cuffdiff_gene_exp.diff.gz,0.931408,bimodal
GSE37703,GSE37703_miseq_cuffdiff_isoform_exp.diff.gz,0.989505,conservative
GSE37703,GSE37703_miseq_cuffdiff_isoform_exp.diff.gz,0.989505,conservative
GSE37703,GSE37703_miseq_cuffdiff_promoters.diff.gz,0.707810,conservative
GSE37703,GSE37703_miseq_cuffdiff_promoters.diff.gz,0.707810,conservative
GSE37703,GSE37703_miseq_cuffdiff_splicing.diff.gz,0.465288,conservative
GSE37703,GSE37703_miseq_cuffdiff_splicing.diff.gz,0.465288,conservative
GSE37703,GSE37703_miseq_cuffdiff_tss_group_exp.diff.gz,0.974187,conservative
GSE37703,GSE37703_miseq_cuffdiff_tss_group_exp.diff.gz,0.974187,conservative
GSE38413,GSE38413_Maize_Pericarp_14DAP_mRNA-Seq_gene_exp.diff.gz,0.937948,bimodal
GSE38413,GSE38413_Maize_Pericarp_25DAP_mRNA-Seq_gene_exp.diff.gz,0.955060,bimodal
GSE38414,GSE38414_Maize_Silks_mRNA-Seq_gene_exp.diff.gz,0.961169,bimodal
GSE39605,GSE39605_All_KOvsWT_filtered_final.xlsx.gz-sheet-All_KOvsWT_filtered,0.999960,other
GSE39652,GSE39652_20111201c2Day3_gene_exp.txt.gz,0.905275,bimodal
GSE39652,GSE39652_20111201c2LZ_gene_exp.txt.gz,0.997127,conservative
GSE39652,GSE39652_20111201c2Pach_gene_exp.txt.gz,0.993142,bimodal
GSE39652,GSE39652_20111201c2PreMeiotic_gene_exp.txt.gz,0.998374,conservative
GSE40187,GSE40187_gene_exp_diff_Control_NXD30001_fromtophat120_cufflinks102_c0_081612.txt.gz,0.987720,conservative
GSE40187,GSE40187_gene_exp_diff_Control_NXD30001_fromtophat120_cufflinks102_c0_081612.txt.gz,0.987720,conservative
GSE40187,GSE40187_gene_exp_diff_MG1_MG2_fromtophat120_cufflinks102_c0_081612.txt.gz,0.975642,conservative
GSE40187,GSE40187_gene_exp_diff_MG1_MG2_fromtophat120_cufflinks102_c0_081612.txt.gz,0.975642,conservative
GSE40218,GSE40218_processed_DESeq.txt.gz,0.915251,conservative
GSE40228,GSE40228_gene_exp.diff.txt.gz,0.985736,bimodal
GSE40548,GSE40548_gene_exp.diff.gz,0.998933,conservative
GSE41090,GSE41090_WT_vs_KO_full_genes.tab.txt.gz,0.987720,conservative
GSE41367,GSE41367_brenneri_gns.expr.txt.gz,0.361350,anti-conservative
GSE41367,GSE41367_brenneri_soap.expr.txt.gz,0.367224,anti-conservative
GSE41367,GSE41367_briggsae_gns.expr.txt.gz,0.328385,anti-conservative
GSE41367,GSE41367_briggsae_soap.expr.txt.gz,0.346540,anti-conservative
GSE41367,GSE41367_elegans_gns.expr.txt.gz,0.298969,anti-conservative
GSE41367,GSE41367_elegans_soap.expr.txt.gz,0.264494,anti-conservative
GSE41367,GSE41367_japonica_gns.expr.txt.gz,0.288588,anti-conservative
GSE41367,GSE41367_japonica_soap.expr.txt.gz,0.289509,anti-conservative
GSE41367,GSE41367_remanei_gns.expr.txt.gz,0.266014,anti-conservative
GSE41367,GSE41367_remanei_soap.expr.txt.gz,0.253860,anti-conservative
GSE41487,GSE41487_ResultsContr123vsRas123Multiple.xls.gz-sheet-RawData Contr123 vs Ras123,0.999604,conservative
GSE41487,GSE41487_ResultsContr123vsRas12Multiple.xls.gz-sheet-RawData Contr123 vs Ras12,0.972638,bimodal
GSE41873,GSE41873_FPKM_all_genes_from_CuffDiff.txt.gz,0.736752,anti-conservative
GSE41908,GSE41908_E11.5_E13.5f_cuffdiff1.2.txt.gz,0.913524,bimodal
GSE41908,GSE41908_E11.5_E13.5m_cuffdiff1.2.txt.gz,0.963062,bimodal
GSE41908,GSE41908_E9.5_E11.5_cuffdiff1.2.txt.gz,0.931152,bimodal
GSE42381,GSE42381_gene_exp.diff.gz,0.889597,bimodal
GSE42443,GSE42443_Brg1cKO_gene_exp.diff.gz,0.975413,bimodal
GSE42805,GSE42805_acute_gene.diff.gz,0.998947,conservative
GSE42805,GSE42805_cds.diff.gz,0.858987,conservative
GSE42805,GSE42805_cds_exp.diff.gz,0.998233,conservative
GSE42805,GSE42805_gene_exp.diff.gz,0.999234,conservative
GSE42805,GSE42805_isoform_exp.diff.gz,0.988417,conservative
GSE42805,GSE42805_promoters.diff.gz,0.865887,conservative
GSE42805,GSE42805_splicing.diff.gz,0.948711,conservative
GSE42805,GSE42805_tss_group_exp.diff.gz,0.994060,conservative
GSE43143,GSE43143_tooth_FPKM_DE.txt.gz,0.650611,anti-conservative
GSE43143,GSE43143_tooth_FPKM_DE.txt.gz,0.988251,anti-conservative
GSE43143,GSE43143_tooth_FPKM_DE.txt.gz,0.824788,anti-conservative
GSE43189,GSE43189_processed_h99_rim101.csv.gz,0.464064,anti-conservative
GSE43194,GSE43194_E11_ICR_abundance_rep1.txt.gz,0.869290,bimodal
GSE43194,GSE43194_E11_ICR_abundance_rep1.txt.gz,0.949432,anti-conservative
GSE43194,GSE43194_E11_ICR_abundance_rep1.txt.gz,0.865318,anti-conservative
GSE43194,GSE43194_E11_ICR_abundance_rep2.txt.gz,0.910785,anti-conservative
GSE43194,GSE43194_E11_ICR_abundance_rep2.txt.gz,0.877061,anti-conservative
GSE43194,GSE43194_E11_ICR_abundance_rep2.txt.gz,0.856904,anti-conservative
GSE43194,GSE43194_HH18chick_abundance.txt.gz,0.751013,anti-conservative
GSE43194,GSE43194_HH18chick_abundance.txt.gz,0.721509,anti-conservative
GSE43194,GSE43194_HH18chick_abundance.txt.gz,0.761111,bimodal
