Accession;suppdata_id;type;pi0;type_filtered;pi0_filtered

GSE17970;GSE17970_supplemental_table_1.xls.gz;anti-conservative;0.47;NA; NA

GSE29992;GSE29992_Het1_KO2_expr.txt.gz;bimodal;0.89;NA; NA

GSE32038;GSE32038_cds_exp.diff.gz;conservative;1.00;NA; NA

GSE32038;GSE32038_cds.diff.gz;anti-conservative;0.07;NA; NA

GSE32038;GSE32038_gene_exp.diff.gz;conservative;1.00;NA; NA

GSE32038;GSE32038_isoform_exp.diff.gz;conservative;1.00;NA; NA

GSE32038;GSE32038_splicing.diff.gz;anti-conservative;0.06;NA; NA

GSE32038;GSE32038_tss_group_exp.diff.gz;conservative;1.00;NA; NA

GSE33141;GSE33141_TopHatTranscriptsFPKM.xls.gz-sheet-mRNA-Transcripts-FPKM;other;0.97;NA; NA

GSE33141;GSE33141_TopHatTranscriptsFPKM.xls.gz-sheet-Pseudogenes-FPKM;other;0.98;NA; NA

GSE33265;GSE33265_gene_exp.diff.gz;bimodal;0.94;NA; NA

GSE33265;GSE33265_isoform_exp.diff.gz;bimodal;0.95;NA; NA

GSE33736;GSE33736_HAmCqG0_G8expression.txt.gz;anti-conservative;0.60;NA; NA

GSE33782;GSE33782_gene_exp.diff.txt.gz;conservative;0.98;NA; NA

GSE33782;GSE33782_isoform_exp.diff.txt.gz;conservative;0.95;NA; NA

GSE34097;GSE34097_aff2_genes_cufflinks.txt.gz;conservative;1.00;NA; NA

GSE34097;GSE34097_aff3_genes_cufflinks.txt.gz;conservative;0.99;NA; NA

GSE34097;GSE34097_aff4_genes_cufflinks.txt.gz;conservative;0.95;NA; NA

GSE34274;GSE34274_Reads_Table_1_Original_RV_Mu1_RV_Mu3_RV_Wt1_RV_Wt2.expr.txt.gz-set-0;bimodal;0.84;NA; NA

GSE34274;GSE34274_Reads_Table_1_Original_RV_Mu1_RV_Mu3_RV_Wt1_RV_Wt2.expr.txt.gz-set-1;bimodal;0.77;NA; NA

GSE34274;GSE34274_Reads_Table_1_Original_RV_Mu1_RV_Mu3_RV_Wt1_RV_Wt2.expr.txt.gz-set-2;bimodal;0.80;NA; NA

GSE34274;GSE34274_Reads_Table_1_Original_RV_Mu1_RV_Mu3_RV_Wt1_RV_Wt2.expr.txt.gz-set-3;spiky;0.75;NA; NA

GSE34274;GSE34274_Reads_Table_1_Original_RV_Mu1_RV_Mu3_RV_Wt1_RV_Wt2.expr.txt.gz-set-4;spiky;0.75;NA; NA

GSE34274;GSE34274_Reads_Table_1_Original_RV_Mu1_RV_Mu3_RV_Wt1_RV_Wt2.expr.txt.gz-set-5;bimodal;0.78;NA; NA

GSE34329;GSE34329_processed_RNAseq_N_way_cuffdiff_combined_replicates_NIvIvPAvPS1145.diff.gz;conservative;0.96;NA; NA

GSE35178;GSE35178_gene_exp.diff.gz;conservative;0.99;NA; NA

GSE35178;GSE35178_isoform_exp.diff.gz;conservative;0.98;NA; NA

GSE35616;GSE35616_DESeq.txt.gz;spiky;0.76;anti-conservative;0.87

GSE36005;GSE36005_emo_gene.diff.gz;conservative;1.00;NA; NA

GSE36005;GSE36005_res_gene.diff.gz;conservative;1.00;NA; NA

GSE36005;GSE36005_sus_gene.diff.gz;bimodal;0.86;NA; NA

GSE36695;GSE36695_H1H9KSR_hfSFM.txt.gz;conservative;1.00;NA; NA

GSE36695;GSE36695_H1H9KSR_SFM.txt.gz;conservative;0.99;NA; NA

GSE36695;GSE36695_H1KSR_H1SFM.txt.gz;bimodal;0.95;NA; NA

GSE36695;GSE36695_H1SFM_H9SFM.txt.gz;conservative;1.00;NA; NA

GSE36695;GSE36695_H1SFM_hfSFM.txt.gz;conservative;1.00;NA; NA

