Accession,suppdata_id,type
GSE99944,GSE99944_Digo_expression_results_significatif.xlsx-sheet-padj<=0.05 UP,6
GSE99944,GSE99944_Digo_expression_results_significatif.xlsx-sheet-padj<=0.05 DOWN,6
GSE99944,GSE99944_Digo_expression_results_significatif.xlsx-sheet-padj<=0.05,6
GSE99944,GSE99944_Digo_expression_results_significatif.xlsx-sheet-padj<=0.10 UP,6
GSE99944,GSE99944_Digo_expression_results_significatif.xlsx-sheet-padj<=0.10 DOWN,6
GSE99944,GSE99944_Digo_expression_results_significatif.xlsx-sheet-padj<=0.10,6
GSE90977,GSE90977_RNA-seq_COMPLETE_4Con-4CJD_SETS_DEFINITIVE_log2FC_0.5.xlsx.gz-sheet-120 dpi,6
GSE90977,GSE90977_RNA-seq_COMPLETE_4Con-4CJD_SETS_DEFINITIVE_log2FC_0.5.xlsx.gz-sheet-180 dpi,6
GSE90478,GSE90478_Candidates_B_v_A_withNormData.csv.gz,6
GSE90478,GSE90478_Candidates_D_v_B_withNormData_CL.csv.gz,6
GSE79916,GSE79916_Dataset_S4-DESeq2_output_for_differential_overall_gene_expression_level_analysis_of_PSIdeltaAB_and_full-length_PSI_male_fly_heads.xls.gz,6
GSE97421,GSE97421_GFP_Whole.txt.gz,6
GSE85360,GSE85360_P140_Setd1b_DEGS_021015.txt.gz,6
GSE41766,GSE41766_IBH1-Ox_vs_Col.txt.gz,6
GSE58865,GSE58865_Hyphae_vs_Oidia_DESeq_results.txt.gz,6
GSE58865,GSE58865_Hyphae_vs_Oidia_DESeq_results.txt.gz,6
GSE64359,GSE64359_DE_dfwt_combined.txt.gz,6
GSE68846,GSE68846_KO_vs_Control_05.csv.gz,6
GSE68846,GSE68846_KO_vs_Control_10.csv.gz,6
GSE68846,GSE68846_KO_vs_Control_15.csv.gz,6
GSE68846,GSE68846_KO_vs_Control_20.csv.gz,6
GSE37001,GSE37001_DEgenes.txt.gz,6
GSE38764,GSE38764_DESeq.nbVsneuron-orig-FDR0.01.txt.gz,6
GSE37001,GSE37001_DEintrons.txt.gz,6
GSE41590,GSE41590_Gene_expression.txt.gz,6
GSE62448,GSE62448_merged_normalized_counts.tab.gz,6
GSE62448,GSE62448_merged_normalized_counts.tab.gz,6
GSE53265,GSE53265_DESeq.PBNbVsLBNb-orig-FDR0.01.txt.gz,6
GSE53265,GSE53265_DESeq.PBNbVsPBNbMed27IR-orig-FDR0.01.txt.gz,6
GSE70069,GSE70069_Deregulated_genes_upon_knock-down_of_Setdb1_in_C2C12.txt.gz,6
GSE74171,GSE74171_processed_aging_data.txt.gz,6
