Accession,suppdata_id,pi0,annot,Type
GSE17970,GSE17970_supplemental_table_1.xls.gz,0.47216815500143733,"GPL9100,GPL9152",anti-conservative
GSE29992,GSE29992_Het1_KO2_expr.txt.gz,0.886619370921538,GPL13112,anti-conservative
GSE32038,GSE32038_cds_exp.diff.gz,0.9997235371323915,GPL11203,conservative
GSE32038,GSE32038_cds.diff.gz,0.07446708935403135,GPL11203,anti-conservative
GSE32038,GSE32038_gene_exp.diff.gz,0.9984954751083875,GPL11203,conservative
GSE32038,GSE32038_isoform_exp.diff.gz,0.9997951337205868,GPL11203,conservative
GSE32038,GSE32038_splicing.diff.gz,0.061781393157299386,GPL11203,anti-conservative
GSE32038,GSE32038_tss_group_exp.diff.gz,0.9994972342384746,GPL11203,conservative
GSE33141,GSE33141_TopHatTranscriptsFPKM.xls.gz-sheet-mRNA-Transcripts-FPKM,0.9728185972346881,GPL11002,other
GSE33141,GSE33141_TopHatTranscriptsFPKM.xls.gz-sheet-Pseudogenes-FPKM,0.9790536961757035,GPL11002,other
GSE33265,GSE33265_gene_exp.diff.gz,0.9380052915872544,GPL9316,conservative
GSE33265,GSE33265_isoform_exp.diff.gz,0.9496996079202623,GPL9316,conservative
GSE33736,GSE33736_HAmCqG0_G8expression.txt.gz,0.5952606378479599,GPL14891,anti-conservative
GSE33782,GSE33782_gene_exp.diff.txt.gz,0.982664851512344,GPL10999,conservative
GSE33782,GSE33782_isoform_exp.diff.txt.gz,0.9495683764375181,GPL10999,bimodal
GSE34097,GSE34097_aff2_genes_cufflinks.txt.gz,0.9981296749102899,GPL10999,conservative
GSE34097,GSE34097_aff3_genes_cufflinks.txt.gz,0.9880902418909306,GPL10999,conservative
GSE34097,GSE34097_aff4_genes_cufflinks.txt.gz,0.951196009589063,GPL10999,bimodal
GSE34274,GSE34274_Reads_Table_1_Original_RV_Mu1_RV_Mu3_RV_Wt1_RV_Wt2.expr.txt.gz-set-0,0.8443686580578273,GPL13112,anti-conservative
GSE34274,GSE34274_Reads_Table_1_Original_RV_Mu1_RV_Mu3_RV_Wt1_RV_Wt2.expr.txt.gz-set-1,0.7711690163509958,GPL13112,anti-conservative
GSE34274,GSE34274_Reads_Table_1_Original_RV_Mu1_RV_Mu3_RV_Wt1_RV_Wt2.expr.txt.gz-set-2,0.7991547732494455,GPL13112,anti-conservative
GSE34274,GSE34274_Reads_Table_1_Original_RV_Mu1_RV_Mu3_RV_Wt1_RV_Wt2.expr.txt.gz-set-3,0.7472168814784004,GPL13112,anti-conservative
GSE34274,GSE34274_Reads_Table_1_Original_RV_Mu1_RV_Mu3_RV_Wt1_RV_Wt2.expr.txt.gz-set-4,0.7549895900091682,GPL13112,anti-conservative
GSE34274,GSE34274_Reads_Table_1_Original_RV_Mu1_RV_Mu3_RV_Wt1_RV_Wt2.expr.txt.gz-set-5,0.7789123658729035,GPL13112,anti-conservative
GSE34329,GSE34329_processed_RNAseq_N_way_cuffdiff_combined_replicates_NIvIvPAvPS1145.diff.gz,0.9623192754039173,GPL10999,conservative
GSE35178,GSE35178_gene_exp.diff.gz,0.9875135386232426,GPL10999,conservative
GSE35178,GSE35178_isoform_exp.diff.gz,0.9750649667754396,GPL10999,conservative
GSE36005,GSE36005_emo_gene.diff.gz,0.9974473759423741,GPL13112,conservative
GSE36005,GSE36005_res_gene.diff.gz,0.9987075233889415,GPL13112,conservative
GSE36005,GSE36005_sus_gene.diff.gz,0.8639573905260485,GPL13112,anti-conservative
GSE36695,GSE36695_H1H9KSR_hfSFM.txt.gz,0.9963444209342307,GPL9115,spiky
GSE36695,GSE36695_H1H9KSR_SFM.txt.gz,0.9943410874492489,GPL9115,conservative
