Accession,suppdata_id,instrument_model
GSE100578,GSE100578_jmjc_vs_WT.txt.gz,Illumina HiSeq 2500
GSE118334,GSE118334_Wnt11_WK_RNAseq_DiffExp.txt.gz,Illumina HiSeq 2000
GSE118566,GSE118566_gene_exp.diff.gz,Illumina HiSeq 3000
GSE106652,GSE106652_Eye_JunctionSeq_allGenesResults.csv.gz,Illumina HiSeq 2500
GSE93709,GSE93709_EBV-Ramos.txt.gz,Illumina HiSeq 2500
GSE101762,GSE101762_srt1srt2_arivsC2H4.xlsx,Illumina HiSeq 4000
GSE101996,GSE101996_bfx319.2month.table1.csv.gz,Illumina HiSeq 2500
GSE89319,GSE89319_6hpf_gene_exp.diff.gz,Illumina HiSeq 2500
GSE104527,GSE104527_CCD11_vs_Control_gene_differential_expression.xlsx,Illumina HiSeq 2000
GSE91400,GSE91400_gene_exp.diff.gz,Illumina Genome Analyzer IIx
GSE99944,GSE99944_Digo_expression_SD-T50nM_SD-Ctrl.csv.gz,Illumina HiSeq 2000
GSE94967,GSE94967_gene_exp.diff_A_B_GENE.diff.gz,Illumina HiSeq 2500
GSE94821,GSE94821_cuffdiff_mock_vs_4hpi.txt.gz,Illumina NextSeq 500
GSE61336,GSE61336_results_167_vs_WTZ.txt.gz,Illumina HiSeq 2000
GSE81059,GSE81059_cns-control_vs_head-control.csv.gz,Illumina HiSeq 2000
GSE80348,GSE80348_20160316_6h_wt_vs_mu.xlsx,Illumina HiSeq 4000
GSE64854,GSE64854_promoters.diff.gz,Illumina HiSeq 2000
GSE72178,GSE72178_gene_exp.diff.txt.gz,Illumina HiSeq 2000
GSE59290,GSE59290_ANTI_isoform_exp.diff.txt.gz,Illumina HiSeq 2500
GSE58405,GSE58405_isoform_exp.diff.gz,Ion Torrent Proton
GSE57217,GSE57217_bck1wt_geneexp_diff.txt.gz,Illumina HiSeq 2000
GSE58379,GSE58379_RBM47_alternative_splicing.txt.gz,Illumina HiSeq 2000
GSE41367,GSE41367_japonica_soap.expr.txt.gz,Illumina HiSeq 1000
GSE32038,GSE32038_tss_group_exp.diff.gz,Illumina Genome Analyzer IIx
GSE109065,GSE109065_Shoot_Cuffdiff_result.txt.gz,Illumina HiSeq 2000
GSE109461,GSE109461_expression_data.txt.gz,Illumina HiSeq 1000
GSE123017,GSE123017_IMCD3_gene_exp_diff.csv.gz,Illumina HiSeq 4000
GSE123017,GSE123017_IMCD3_gene_exp_diff.csv.gz,Illumina HiSeq 4000
GSE100355,GSE100355_Diff_mcPC_VSMC.txt.gz,Illumina NextSeq 500
GSE101996,GSE101996_bfx319.2month.table2.csv.gz,Illumina HiSeq 2500
GSE107389,GSE107389_NTC.xlsx,Illumina HiSeq 2000
GSE89319,GSE89319_7hpf_gene_exp.diff.gz,Illumina HiSeq 2500
GSE100332,GSE100332_Input_Mett3gene_exp.diff.gz,Illumina HiSeq 2000
GSE82164,GSE82164_Cuffdiff_transcript_differential_expression_testing.tabular.txt.gz,Illumina HiSeq 2500
GSE94967,GSE94967_isoform_exp.diff_A_B_ISOFORM.diff.gz,Illumina HiSeq 2500
GSE94821,GSE94821_cuffdiff_mock_vs_8hpi.txt.gz,Illumina NextSeq 500
GSE81100,GSE81100_youngARSER_output.txt.gz,Illumina HiSeq 2000
GSE61336,GSE61336_results_WTL_vs_WTZ.txt.gz,Illumina HiSeq 2000
GSE75510,GSE75510_diffExonExprZH1vsB6.txt.gz,Illumina HiSeq 2000
GSE64854,GSE64854_splicing.diff.gz,Illumina HiSeq 2000
GSE76190,GSE76190_OtA8535_vs_OtA8538_gene_exp.diff.gz,Illumina HiSeq 2000
GSE53040,GSE53040_wtDMSOvswtD1.txt.gz,Illumina HiSeq 2000
GSE59290,GSE59290_MIR_isoform_exp.diff.txt.gz,Illumina HiSeq 2500
GSE52201,GSE52201_RNAseq_processed_data_L_D_siLSD1.txt.gz,Illumina HiSeq 1000
