FullJournalName,source,issn,total_cites,IF,impact_factor_without_journal_self_cites,5-year_impact_factor,immediacy_index,citable_items,cited_half-life,citing_half-life,eigenfactor_score,article_influence_score,%_articles_in_citable_items,average_journal_impact_factor_percentile,normalized_eigenfactor
CA-A CANCER JOURNAL FOR CLINICIANS,ca-cancer j clin,0007-9235,24539,187.04,186.18,160.239,57.259,27,3.7,5.5,0.06452,41.156,51.850,99.77,7.40156
NEW ENGLAND JOURNAL OF MEDICINE,new engl j med,0028-4793,315143,72.406,71.699,64.201,16.637,328,8.3,4.7,0.69989,27.775,85.980,99.677,80.30179
NATURE REVIEWS DRUG DISCOVERY,nat rev drug discov,1474-1776,28750,57,56.392,49.643,8.474,38,7.0,5.2,0.06077,18.614,21.050,99.746,6.96985
CHEMICAL REVIEWS,chem rev,0009-2665,159155,47.928,47.317,50.950,10.509,277,7.8,7.7,0.24655,15.143,0.000,99.699,28.25768
LANCET,lancet,0140-6736,214732,47.831,46.466,48.082,16.303,337,9.0,4.7,0.40423,19.450,79.230,99.032,46.40078
NATURE REVIEWS MOLECULAR CELL BIOLOGY,nat rev mol cell bio,1471-0072,40565,46.602,46.356,43.310,6.018,57,8.0,5.7,0.09573,21.264,17.540,99.737,10.97353
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,jama-j am med assoc,0098-7484,141015,44.405,43.313,38.209,12.46,213,>10.0,5.8,0.28035,17.752,76.060,98.387,32.18951
NATURE BIOTECHNOLOGY,nat biotechnol,1087-0156,53992,41.667,40.667,46.223,7.542,118,6.8,4.6,0.16973,23.889,98.310,99.063,19.47206
NATURE REVIEWS GENETICS,nat rev genet,1471-0056,32654,40.282,39.673,42.442,7.52,50,6.8,4.5,0.1024,22.319,12.000,99.701,11.74993
NATURE,nature,0028-0836,671254,40.137,39.533,43.769,9.129,879,>10.0,6.0,1.43257,22.987,95.900,99.219,164.32121
NATURE REVIEWS IMMUNOLOGY,nat rev immunol,1474-1733,34948,39.932,39.568,43.498,5.722,54,7.2,5.4,0.09292,20.381,11.110,99.669,10.65803
NATURE MATERIALS,nat mater,1476-1122,81831,39.737,39.384,47.494,8.331,172,6.5,6.0,0.20397,18.934,97.090,99.598,23.37910
Nature Nanotechnology,nat nanotechnol,1748-3387,48814,38.986,38.497,44.323,8.209,148,5.0,5.7,0.17241,18.163,93.240,99.44,19.76899
CHEMICAL SOCIETY REVIEWS,chem soc rev,0306-0012,113731,38.618,38.22,39.278,7.703,273,4.6,5.9,0.28411,10.529,0.000,99.096,32.57437
Nature Photonics,nat photonics,1749-4885,35595,37.852,37.309,38.910,6.826,121,4.4,5.2,0.12598,14.647,95.040,99.222,14.44674
SCIENCE,science,0036-8075,606635,37.205,36.688,38.062,9.278,806,>10.0,5.4,1.15823,19.174,92.180,97.656,132.83853
NATURE REVIEWS CANCER,nat rev cancer,1474-175X,46017,37.147,36.767,47.887,5.804,56,8.2,5.9,0.08488,18.501,3.570,99.309,9.73431
REVIEWS OF MODERN PHYSICS,rev mod phys,0034-6861,45510,36.917,36.75,45.547,6.634,41,>10.0,8.2,0.06964,23.851,100.000,99.367,7.98267
LANCET ONCOLOGY,lancet oncol,1470-2045,38110,33.9,33.25,31.194,7.722,169,4.4,4.7,0.12184,11.131,84.020,98.848,13.97205
PROGRESS IN MATERIALS SCIENCE,prog mater sci,0079-6425,10521,31.14,31.02,35.942,4.041,49,7.5,8.2,0.01671,9.601,0.000,99.091,1.91585
Annual Review of Astronomy and Astrophysics,annu rev astron astr,0066-4146,9417,30.733,30.433,35.725,2.333,18,>10.0,8.1,0.02066,20.819,0.000,99.206,2.37039
CELL,cell,0092-8674,217952,30.41,29.638,34.103,6.358,455,9.1,5.3,0.59398,20.067,86.810,99.519,68.14412
NATURE MEDICINE,nat med,1078-8956,70491,29.886,29.476,32.261,6.701,157,8.1,5.0,0.17847,14.878,96.820,99.259,20.47254
Energy & Environmental Science,energ environ sci,1754-5692,59187,29.518,28.675,24.781,6.751,325,3.8,4.3,0.18611,6.242,89.850,99.34,21.34373
Living Reviews in Relativity,living rev relativ,1433-8351,2186,29.3,29.1,24.974,40.5,2,6.3,>10.0,0.00682,12.480,0.000,98.276,0.78167
MATERIALS SCIENCE & ENGINEERING R-REPORTS,mat sci eng r,0927-796X,6361,29.28,29.08,24.745,5.083,12,>10.0,5.5,0.00549,6.938,0.000,98.519,0.62935
NATURE REVIEWS NEUROSCIENCE,nat rev neurosci,1471-003X,36952,28.88,28.581,37.257,5.509,57,8.4,6.6,0.07123,17.196,7.020,99.807,8.17902
Annual Review of Immunology,annu rev immunol,0732-0582,17290,28.396,28.167,39.683,5.174,23,9.5,7.0,0.0364,20.578,0.000,99.007,4.17223
NATURE GENETICS,nat genet,1061-4036,88954,27.959,27.173,31.694,4.776,196,8.0,5.3,0.24129,16.447,100.000,99.102,27.70467
CANCER CELL,cancer cell,1535-6108,32653,27.407,26.765,27.660,4.264,121,6.1,5.0,0.10279,12.785,95.870,98.272,11.79442
PHYSIOLOGICAL REVIEWS,physiol rev,0031-9333,25952,27.312,27.172,34.628,4.639,36,>10.0,9.4,0.03317,13.408,0.000,99.405,3.80663
Annual Review of Pathology-Mechanisms of Disease,annu rev pathol-mech,1553-4006,4105,26.853,26.735,26.330,2.609,23,5.5,6.9,0.01304,9.962,0.000,99.367,1.49339
NATURE REVIEWS MICROBIOLOGY,nat rev microbiol,1740-1526,23640,26.819,26.496,28.420,6.685,54,6.7,5.1,0.05791,11.912,20.370,99.6,6.64794
World Psychiatry,world psychiatry,1723-8617,3153,26.561,24.22,19.515,4.095,21,4.5,5.7,0.0095,6.674,95.240,99.644,1.09114
World Psychiatry,world psychiatry,1723-8617,3153,26.561,24.22,19.515,4.095,21,4.5,5.7,0.0095,6.674,95.240,99.644,1.09114
LANCET NEUROLOGY,lancet neurol,1474-4422,24566,26.284,25.546,25.612,5.516,91,6.1,5.0,0.06547,10.093,67.030,99.742,7.52040
Nature Chemistry,nat chem,1755-4330,24811,25.87,25.617,28.129,6.75,140,4.2,7.5,0.10139,11.225,95.710,97.892,11.61645
PROGRESS IN POLYMER SCIENCE,prog polym sci,0079-6700,22723,25.766,25.495,32.367,5.091,44,7.1,6.7,0.02983,7.542,0.000,99.419,3.42231
NATURE METHODS,nat methods,1548-7091,45957,25.062,24.573,36.723,4.672,128,4.9,4.8,0.21819,20.040,95.310,99.359,25.02288
JOURNAL OF CLINICAL ONCOLOGY,j clin oncol,0732-183X,149617,24.008,23.087,19.311,7.78,478,7.3,5.7,0.28451,6.772,92.470,97.926,32.63579
Cell Stem Cell,cell stem cell,1934-5909,21524,23.394,22.343,23.121,7.425,113,4.8,4.8,0.09235,11.738,88.500,97.625,10.59900
