Accession,PDAT,suppdata_id,Type,pi0,SRP,fp,rs,ud,QCType,Type_after_filter,QCType_after_filter,SRP_after_filter,pi0_after_filter,fp_after_filter,rs_after_filter,ud_after_filter,SRP_pi0method_hist,pi0_pi0method_hist,fp_pi0method_hist,rs_pi0method_hist,ud_pi0method_hist,SRP_after_filter_pi0method_hist,pi0_after_filter_pi0method_hist,fp_after_filter_pi0method_hist,rs_after_filter_pi0method_hist,ud_after_filter_pi0method_hist,model,taxon,PubMedIds,PubDate,EPubDate,Source,AuthorList,LastAuthor,Title,Volume,Issue,Pages,LangList,NlmUniqueID,ISSN,ESSN,PubTypeList,RecordStatus,PubStatus,ArticleIds,DOI,History,References,HasAbstract,PmcRefCount,FullJournalName,ELocationID,SO,citations,source,issn,total_cites,IF,impact_factor_without_journal_self_cites,5-year_impact_factor,immediacy_index,citable_items,cited_half-life,citing_half-life,eigenfactor_score,article_influence_score,%_articles_in_citable_items,average_journal_impact_factor_percentile,normalized_eigenfactor
GSE100075,2018-01-12,GSE100075_cuffdiff_MCF7_gene_exp.txt.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human and mouse,Homo sapiens,29192207,2017 Nov 30,2017 Nov 30,Nat Commun,Martin LARibas RSimigdala NSchuster EPancholi STenev TGellert PBuluwela LHarrod AThornhill ANikitorowicz-Buniak JBhamra ATurgeon MOPoulogiannis GGao QMartins VHills MGarcia-Murillas IFribbens CPatani NLi ZSikora MJTurner NZwart WOesterreich SCarroll JAli SDowsett M,Dowsett M,Discovery of naturally occurring ESR1 mutations in breast cancer cell lines modelling endocrine resistance.,8,1,1865,English,101528555,NA,2041-1723,Journal Article,PubMed - indexed for MEDLINE,epublish,2919220710.1038/s41467-017-01864-y10.1038/s41467-017-01864-yPMC57093872919220729192207pmc-id: PMC5709387;,10.1038/s41467-017-01864-y,2016/10/13 00:002017/10/20 00:002017/12/02 06:002017/12/02 06:002018/10/04 06:00,NA,1,9,nature communications,doi: 10.1038/s41467-017-01864-y,2017 Nov 30;8(1):1865,NA,nat commun,2041-1723,123958,12.124,11.814,13.092,1.993,3534,2.5,6.9,0.72169,5.735,99.770,96.094,82.76768
GSE100075,2018-01-12,GSE100075_cuffdiff_SUM44_gene_exp.txt.gz,bimodal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human and mouse,Homo sapiens,29192207,2017 Nov 30,2017 Nov 30,Nat Commun,Martin LARibas RSimigdala NSchuster EPancholi STenev TGellert PBuluwela LHarrod AThornhill ANikitorowicz-Buniak JBhamra ATurgeon MOPoulogiannis GGao QMartins VHills MGarcia-Murillas IFribbens CPatani NLi ZSikora MJTurner NZwart WOesterreich SCarroll JAli SDowsett M,Dowsett M,Discovery of naturally occurring ESR1 mutations in breast cancer cell lines modelling endocrine resistance.,8,1,1865,English,101528555,NA,2041-1723,Journal Article,PubMed - indexed for MEDLINE,epublish,2919220710.1038/s41467-017-01864-y10.1038/s41467-017-01864-yPMC57093872919220729192207pmc-id: PMC5709387;,10.1038/s41467-017-01864-y,2016/10/13 00:002017/10/20 00:002017/12/02 06:002017/12/02 06:002018/10/04 06:00,NA,1,9,nature communications,doi: 10.1038/s41467-017-01864-y,2017 Nov 30;8(1):1865,NA,nat commun,2041-1723,123958,12.124,11.814,13.092,1.993,3534,2.5,6.9,0.72169,5.735,99.770,96.094,82.76768
GSE100092,2018-01-03,GSE100092_cds_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human and mouse,Homo sapiens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE100092,2018-01-03,GSE100092_cds.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human and mouse,Homo sapiens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE100092,2018-01-03,GSE100092_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human and mouse,Homo sapiens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE100092,2018-01-03,GSE100092_isoform_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human and mouse,Homo sapiens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE100092,2018-01-03,GSE100092_promoters.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human and mouse,Homo sapiens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE100092,2018-01-03,GSE100092_splicing.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human and mouse,Homo sapiens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE100092,2018-01-03,GSE100092_tss_group_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human and mouse,Homo sapiens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSE100175,2017-10-11,GSE100175_Supplementary_Table_1.xlsx-sheet-DRG_TRI+interactions_WALD,uniform,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Human and mouse,Mus musculus,29018326,2017,2017 Sep 26,Front Mol Neurosci,Lopes DMDenk FMcMahon SB,McMahon SB,The Molecular Fingerprint of Dorsal Root and Trigeminal Ganglion Neurons.,10,NA,304,English,101477914,NA,1662-5099,Journal Article,PubMed,NA,2901832610.3389/fnmol.2017.00304PMC56231882901832629018326pmc-id: PMC5623188;,10.3389/fnmol.2017.00304,2017/07/10 00:002017/09/11 00:002017/10/12 06:002017/10/12 06:002017/10/12 06:01,NA,1,9,frontiers in molecular neuroscience,doi: 10.3389/fnmol.2017.00304,2017;10:304,18,front mol neurosci,1662-5099,1979,5.076,4.894,4.740,0.255,165,3.4,7.8,0.0085,1.615,74.550,83.977,0.97672
