Accession,suppdata_id,PubMedIds,PubDate,EPubDate,Source,AuthorList,LastAuthor,Title,Volume,Issue,Pages,LangList,NlmUniqueID,ISSN,ESSN,PubTypeList,RecordStatus,PubStatus,ArticleIds,DOI,History,References,HasAbstract,PmcRefCount,FullJournalName,ELocationID,SO
GSE114652,GSE114652_trim9_sham_stroke.txt.gz,30970257,2019 Apr 9,NA,Cell Rep,Zeng JWang YLuo ZChang LCYoo JSYan HChoi YXie XDeverman BEGradinaru VGupton SLZlokovic BVZhao ZJung JU,Jung JU,TRIM9-Mediated Resolution of Neuroinflammation Confers Neuroprotection upon Ischemic Stroke in Mice.,27,2,549-560.e6,English,101573691,NA,2211-1247,Journal Article,PubMed - in process,ppublish,30970257S2211-1247(18)31985-510.1016/j.celrep.2018.12.055PMC6485958NIHMS15266923097025730970257pmc-id: PMC6485958;manuscript-id: NIHMS1526692;,10.1016/j.celrep.2018.12.055,2018/05/13 00:002018/08/26 00:002018/12/12 00:002019/04/11 06:002019/04/11 06:002019/04/11 06:00,NA,1,1,Cell reports,doi: 10.1016/j.celrep.2018.12.055,2019 Apr 9;27(2):549-560.e6
GSE111126,GSE111126_Mutt110_vs_Wt.txt.gz,30862861,2019 Mar 12,2019 Mar 12,Sci Rep,González-Quiñónez NCorte-Rodríguez MÁlvarez-Fernández-García RRioseras BLópez-García MTFernández-García GMontes-Bayón MManteca AYagüe P,Yagüe P,"Cytosolic copper is a major modulator of germination, development and secondary metabolism in Streptomyces coelicolor.",9,1,4214,English,101563288,NA,2045-2322,Journal Article,PubMed - in process,epublish,3086286110.1038/s41598-019-40876-010.1038/s41598-019-40876-0PMC64147263086286130862861pmc-id: PMC6414726;,10.1038/s41598-019-40876-0,2018/10/10 00:002019/02/25 00:002019/03/14 06:002019/03/14 06:002019/03/14 06:00,NA,1,0,Scientific reports,doi: 10.1038/s41598-019-40876-0,2019 Mar 12;9(1):4214
GSE111126,GSE111126_Mutt110_vs_Wtcu.txt.gz,30862861,2019 Mar 12,2019 Mar 12,Sci Rep,González-Quiñónez NCorte-Rodríguez MÁlvarez-Fernández-García RRioseras BLópez-García MTFernández-García GMontes-Bayón MManteca AYagüe P,Yagüe P,"Cytosolic copper is a major modulator of germination, development and secondary metabolism in Streptomyces coelicolor.",9,1,4214,English,101563288,NA,2045-2322,Journal Article,PubMed - in process,epublish,3086286110.1038/s41598-019-40876-010.1038/s41598-019-40876-0PMC64147263086286130862861pmc-id: PMC6414726;,10.1038/s41598-019-40876-0,2018/10/10 00:002019/02/25 00:002019/03/14 06:002019/03/14 06:002019/03/14 06:00,NA,1,0,Scientific reports,doi: 10.1038/s41598-019-40876-0,2019 Mar 12;9(1):4214
GSE111126,GSE111126_Wtcu_vs_Wt.txt.gz,30862861,2019 Mar 12,2019 Mar 12,Sci Rep,González-Quiñónez NCorte-Rodríguez MÁlvarez-Fernández-García RRioseras BLópez-García MTFernández-García GMontes-Bayón MManteca AYagüe P,Yagüe P,"Cytosolic copper is a major modulator of germination, development and secondary metabolism in Streptomyces coelicolor.",9,1,4214,English,101563288,NA,2045-2322,Journal Article,PubMed - in process,epublish,3086286110.1038/s41598-019-40876-010.1038/s41598-019-40876-0PMC64147263086286130862861pmc-id: PMC6414726;,10.1038/s41598-019-40876-0,2018/10/10 00:002019/02/25 00:002019/03/14 06:002019/03/14 06:002019/03/14 06:00,NA,1,0,Scientific reports,doi: 10.1038/s41598-019-40876-0,2019 Mar 12;9(1):4214
GSE100578,GSE100578_jmjc_vs_WT.txt.gz,29490272,2018 Feb 27,NA,Cell Rep,Zamurrad SHatch HAMDrelon CBelalcazar HMSecombe J,Secombe J,A Drosophila Model of Intellectual Disability Caused by Mutations in the Histone Demethylase KDM5.,22,9,2359-2369,English,101573691,NA,2211-1247,Journal Article,PubMed - indexed for MEDLINE,ppublish,29490272S2211-1247(18)30186-410.1016/j.celrep.2018.02.018PMC5854480NIHMS9492252949027229490272pmc-id: PMC5854480;manuscript-id: NIHMS949225;,10.1016/j.celrep.2018.02.018,2017/06/26 00:002017/12/08 00:002018/02/05 00:002018/03/01 06:002018/03/01 06:002019/06/19 06:00,NA,1,5,Cell reports,doi: 10.1016/j.celrep.2018.02.018,2018 Feb 27;22(9):2359-2369
GSE100578,GSE100578_A512P_vs_WT.txt.gz,29490272,2018 Feb 27,NA,Cell Rep,Zamurrad SHatch HAMDrelon CBelalcazar HMSecombe J,Secombe J,A Drosophila Model of Intellectual Disability Caused by Mutations in the Histone Demethylase KDM5.,22,9,2359-2369,English,101573691,NA,2211-1247,Journal Article,PubMed - indexed for MEDLINE,ppublish,29490272S2211-1247(18)30186-410.1016/j.celrep.2018.02.018PMC5854480NIHMS9492252949027229490272pmc-id: PMC5854480;manuscript-id: NIHMS949225;,10.1016/j.celrep.2018.02.018,2017/06/26 00:002017/12/08 00:002018/02/05 00:002018/03/01 06:002018/03/01 06:002019/06/19 06:00,NA,1,5,Cell reports,doi: 10.1016/j.celrep.2018.02.018,2018 Feb 27;22(9):2359-2369
GSE83360,GSE83360_hg19_CsiRNA_RNF2siRNA_Cuffdiff_on_data_1__data_3__and_data_17_gene_differential_expression_testing.tabular.txt.gz,28855339,2017 Sep 19,2017 Aug 30,Proc Natl Acad Sci U S A,Zhang ZJones AEWu WKim JKang YBi XGu YPopov IKRenfrow MBVassylyeva MNVassylyev DGGiles KEChen DKumar AFan YTong YLiu CFAn WChang CLuo JChow LTWang H,Wang H,Role of remodeling and spacing factor 1 in histone H2A ubiquitination-mediated gene silencing.,114,38,E7949-E7958,English,7505876,0027-8424,1091-6490,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,28855339171115811410.1073/pnas.1711158114PMC56173062885533928855339pmc-id: PMC5617306;,10.1073/pnas.1711158114,2017/09/01 06:002018/06/06 06:002017/09/01 06:00,NA,1,4,Proceedings of the National Academy of Sciences of the United States of America,doi: 10.1073/pnas.1711158114,2017 Sep 19;114(38):E7949-E7958
GSE83360,GSE83360_hg19_CsiRNA_Rsf1siRNA_Cuffdiff_on_data_1__data_2__and_data_17_gene_differential_expression_testing.tabular.txt.gz,28855339,2017 Sep 19,2017 Aug 30,Proc Natl Acad Sci U S A,Zhang ZJones AEWu WKim JKang YBi XGu YPopov IKRenfrow MBVassylyeva MNVassylyev DGGiles KEChen DKumar AFan YTong YLiu CFAn WChang CLuo JChow LTWang H,Wang H,Role of remodeling and spacing factor 1 in histone H2A ubiquitination-mediated gene silencing.,114,38,E7949-E7958,English,7505876,0027-8424,1091-6490,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,28855339171115811410.1073/pnas.1711158114PMC56173062885533928855339pmc-id: PMC5617306;,10.1073/pnas.1711158114,2017/09/01 06:002018/06/06 06:002017/09/01 06:00,NA,1,4,Proceedings of the National Academy of Sciences of the United States of America,doi: 10.1073/pnas.1711158114,2017 Sep 19;114(38):E7949-E7958
GSE83360,GSE83360_hg19_Rsf1siRNA_RNF2siRNA_Cuffdiff_on_data_2__data_3__and_data_17_gene_differential_expression_testing.tabular.txt.gz,28855339,2017 Sep 19,2017 Aug 30,Proc Natl Acad Sci U S A,Zhang ZJones AEWu WKim JKang YBi XGu YPopov IKRenfrow MBVassylyeva MNVassylyev DGGiles KEChen DKumar AFan YTong YLiu CFAn WChang CLuo JChow LTWang H,Wang H,Role of remodeling and spacing factor 1 in histone H2A ubiquitination-mediated gene silencing.,114,38,E7949-E7958,English,7505876,0027-8424,1091-6490,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,28855339171115811410.1073/pnas.1711158114PMC56173062885533928855339pmc-id: PMC5617306;,10.1073/pnas.1711158114,2017/09/01 06:002018/06/06 06:002017/09/01 06:00,NA,1,4,Proceedings of the National Academy of Sciences of the United States of America,doi: 10.1073/pnas.1711158114,2017 Sep 19;114(38):E7949-E7958
GSE83360,GSE83360_mESC_V6.5_gene_differential_expression_testing_.tabular.txt.gz,28855339,2017 Sep 19,2017 Aug 30,Proc Natl Acad Sci U S A,Zhang ZJones AEWu WKim JKang YBi XGu YPopov IKRenfrow MBVassylyeva MNVassylyev DGGiles KEChen DKumar AFan YTong YLiu CFAn WChang CLuo JChow LTWang H,Wang H,Role of remodeling and spacing factor 1 in histone H2A ubiquitination-mediated gene silencing.,114,38,E7949-E7958,English,7505876,0027-8424,1091-6490,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,28855339171115811410.1073/pnas.1711158114PMC56173062885533928855339pmc-id: PMC5617306;,10.1073/pnas.1711158114,2017/09/01 06:002018/06/06 06:002017/09/01 06:00,NA,1,4,Proceedings of the National Academy of Sciences of the United States of America,doi: 10.1073/pnas.1711158114,2017 Sep 19;114(38):E7949-E7958
