Accession,Supplementary file name,True nulls proportion,histclus,code,type,Type,comment
GSE17970,GSE17970_supplemental_table_1.xls.gz,0.47,#22A884FF,NA,NA,NA,NA
GSE29992,GSE29992_Het1_KO2_expr.txt.gz,0.89,#440154FF,NA,NA,NA,NA
GSE32038,GSE32038_cds_exp.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE32038,GSE32038_cds.diff.gz,0.07,#7AD151FF,NA,NA,NA,NA
GSE32038,GSE32038_gene_exp.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE32038,GSE32038_isoform_exp.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE32038,GSE32038_splicing.diff.gz,0.06,#7AD151FF,NA,NA,NA,NA
GSE32038,GSE32038_tss_group_exp.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE33141,GSE33141_TopHatTranscriptsFPKM.xls.gz-sheet-mRNA-Transcripts-FPKM,0.97,#440154FF,NA,NA,NA,NA
GSE33265,GSE33265_gene_exp.diff.gz,0.94,#440154FF,NA,NA,NA,NA
GSE33265,GSE33265_isoform_exp.diff.gz,0.95,#440154FF,NA,NA,NA,NA
GSE33736,GSE33736_HAmCqG0_G8expression.txt.gz,0.60,#22A884FF,NA,NA,NA,NA
GSE33782,GSE33782_gene_exp.diff.txt.gz,0.98,#2A788EFF,NA,NA,NA,NA
GSE33782,GSE33782_isoform_exp.diff.txt.gz,0.95,#2A788EFF,NA,NA,NA,NA
GSE34097,GSE34097_aff2_genes_cufflinks.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE34097,GSE34097_aff3_genes_cufflinks.txt.gz,0.99,#2A788EFF,NA,NA,NA,NA
GSE34097,GSE34097_aff4_genes_cufflinks.txt.gz,0.95,#2A788EFF,NA,NA,NA,NA
GSE34274,GSE34274_Reads_Table_1_Original_RV_Mu1_RV_Mu3_RV_Wt1_RV_Wt2.expr.txt.gz,0.75,#440154FF,NA,NA,NA,NA
GSE34274,GSE34274_Reads_Table_1_Original_RV_Mu1_RV_Mu3_RV_Wt1_RV_Wt2.expr.txt.gz,0.75,#440154FF,NA,NA,NA,NA
GSE34274,GSE34274_Reads_Table_1_Original_RV_Mu1_RV_Mu3_RV_Wt1_RV_Wt2.expr.txt.gz,0.77,#440154FF,NA,NA,NA,NA
GSE34274,GSE34274_Reads_Table_1_Original_RV_Mu1_RV_Mu3_RV_Wt1_RV_Wt2.expr.txt.gz,0.78,#440154FF,NA,NA,NA,NA
GSE34274,GSE34274_Reads_Table_1_Original_RV_Mu1_RV_Mu3_RV_Wt1_RV_Wt2.expr.txt.gz,0.80,#440154FF,NA,NA,NA,NA
GSE34274,GSE34274_Reads_Table_1_Original_RV_Mu1_RV_Mu3_RV_Wt1_RV_Wt2.expr.txt.gz,0.84,#440154FF,NA,NA,NA,NA
GSE34329,GSE34329_processed_RNAseq_N_way_cuffdiff_combined_replicates_NIvIvPAvPS1145.diff.gz,0.96,#414487FF,NA,NA,NA,NA
GSE35178,GSE35178_gene_exp.diff.gz,0.99,#2A788EFF,NA,NA,NA,NA
GSE35178,GSE35178_isoform_exp.diff.gz,0.98,#2A788EFF,NA,NA,NA,NA
GSE35616,GSE35616_DESeq.txt.gz,0.76,#440154FF,126,2,conservative,Identical comparisons? Adjusted p values?
GSE36005,GSE36005_emo_gene.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE36005,GSE36005_res_gene.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE36005,GSE36005_sus_gene.diff.gz,0.86,#440154FF,NA,NA,NA,NA
GSE36695,GSE36695_H1H9KSR_hfSFM.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE36695,GSE36695_H1H9KSR_SFM.txt.gz,0.99,#440154FF,NA,NA,NA,NA
GSE36695,GSE36695_H1KSR_H1SFM.txt.gz,0.95,#440154FF,NA,NA,NA,NA
GSE36695,GSE36695_H1SFM_H9SFM.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE36695,GSE36695_H1SFM_hfSFM.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE36695,GSE36695_H9KSR_H9SFM.txt.gz,0.98,#440154FF,NA,NA,NA,NA
GSE36695,GSE36695_H9KSR_hfSFM.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE36695,GSE36695_H9SFM_hfSFM.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE36710,GSE36710_RBFOX1_Splicing_Events.txt.gz,0.89,#2A788EFF,NA,NA,NA,NA
GSE36710,GSE36710_RBFOX1_Transcriptional_Events.txt.gz,0.94,#440154FF,26,2,conservative,Identical comparisons? Adjusted p values?
GSE36781,GSE36781_gene_exp_diff.txt.gz,0.96,#440154FF,NA,NA,NA,NA
GSE36866,GSE36866_gene_exp.diff.gz,0.98,#2A788EFF,NA,NA,NA,NA
GSE36871,GSE36871_RNASeq_Mouse_Liver_NormalizedGeneSignal.txt.gz,0.70,#440154FF,16,3,spiky,Many identical values in the dataset? (low counts resulting in discrete distributions)
