suppdata_id,Filter,human,nnet,Type,classifier
GSE100075_cuffdiff_MCF7_gene_exp.txt.gz,raw,bimodal,bimodal,bimodal,human
GSE100075_cuffdiff_SUM44_gene_exp.txt.gz,raw,bimodal,bimodal,bimodal,human
GSE100092_cds_exp.diff.gz,raw,conservative,conservative,conservative,human
GSE100092_cds.diff.gz,raw,conservative,conservative,conservative,human
GSE100092_gene_exp.diff.gz,raw,conservative,conservative,conservative,human
GSE100092_isoform_exp.diff.gz,raw,conservative,conservative,conservative,human
GSE100092_promoters.diff.gz,raw,conservative,conservative,conservative,human
GSE100092_splicing.diff.gz,raw,conservative,conservative,conservative,human
GSE100092_tss_group_exp.diff.gz,raw,conservative,conservative,conservative,human
GSE100175_Supplementary_Table_1.xlsx-sheet-DRG_TRI+interactions_WALD,basemean,other,other,other,human
GSE100175_Supplementary_Table_1.xlsx-sheet-DRG_TRI+interactions_WALD,raw,uniform,uniform,uniform,human
GSE100175_Supplementary_Table_1.xlsx-sheet-DRG_vs_trigeminal_LRT,basemean,other,anti-conservative,other,human
GSE100175_Supplementary_Table_1.xlsx-sheet-DRG_vs_trigeminal_LRT,raw,uniform,uniform,uniform,human
GSE100175_Supplementary_Table_1.xlsx-sheet-DRG_vs_trigeminal_WALD,basemean,other,uniform,other,human
GSE100175_Supplementary_Table_1.xlsx-sheet-DRG_vs_trigeminal_WALD,raw,uniform,uniform,uniform,human
GSE100175_Supplementary_Table_1.xlsx-sheet-male_female+interactions_WALD,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE100175_Supplementary_Table_1.xlsx-sheet-male_female+interactions_WALD,raw,uniform,uniform,uniform,human
GSE100175_Supplementary_Table_1.xlsx-sheet-male_vs_female_WALD,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE100175_Supplementary_Table_1.xlsx-sheet-male_vs_female_WALD,raw,uniform,uniform,uniform,human
GSE100245_gene_exp-proc.diff.txt.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE100277_Mett3_gene_exp.diff.gz,raw,conservative,conservative,conservative,human
GSE100332_Input_Mett3gene_exp.diff.gz,raw,conservative,conservative,conservative,human
GSE100355_Diff_mcPC_VSMC.txt.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE100355_Diff_mcPC_VSMC.txt.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE100367_CL6566_vs_CL6364_processed.txt.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE100367_CL6566_vs_CL6364_processed.txt.gz,raw,other,other,other,human
GSE100367_CL6768_vs_CL6364_processed.txt.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE100367_CL6768_vs_CL6364_processed.txt.gz,raw,other,other,other,human
GSE100414_DN345_KK43_DESeq2.txt.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE100414_DN345_KK43_DESeq2.txt.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE100421_E8.5vsE10.5_Cuffdiff_gene_exp.xlsx,raw,bimodal,bimodal,bimodal,human
GSE100421_WTvsOE_Cuffdiff_gene_exp.xlsx,raw,conservative,conservative,conservative,human
GSE100484_HL-60_Parental_vs_JMJD3_KO.diff.exp.xls.gz,raw,conservative,conservative,conservative,human
GSE100578_A512P_vs_WT.txt.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE100578_A512P_vs_WT.txt.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE100578_jmjc_vs_WT.txt.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE100578_jmjc_vs_WT.txt.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE100632_gene_exp.diff.txt.gz,raw,conservative,conservative,conservative,human
GSE100829_N2_HPL2_J2IP_DESeqResults.xlsx,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE100829_N2_HPL2_J2IP_DESeqResults.xlsx,raw,spiky,spiky,spiky,human
GSE100908_Gene_expression_HP_vs_LP.xlsx,raw,bimodal,bimodal,bimodal,human
GSE100908_Gene_expression_SHP_vs_SLP.xlsx,raw,conservative,conservative,conservative,human
GSE100954_WTvs3aKO_gene_exp.diff.gz,raw,conservative,conservative,conservative,human
GSE100954_WTvsDKO13_gene_exp.diff.gz,raw,conservative,conservative,conservative,human
GSE100954_WTvsTet1KO_gene_exp.diff.gz,raw,conservative,conservative,conservative,human
GSE100990_RNA_Seq_Nr4a1_CDKO_HSC_DESeq2_output.txt.gz,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE100990_RNA_Seq_Nr4a1_CDKO_HSC_DESeq2_output.txt.gz,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE101142_Supplemental_table_1.txt.gz-set-0,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE101142_Supplemental_table_1.txt.gz-set-0,raw,anti-conservative,anti-conservative,anti-conservative,human
GSE101142_Supplemental_table_1.txt.gz-set-1,basemean,anti-conservative,anti-conservative,anti-conservative,human
GSE101142_Supplemental_table_1.txt.gz-set-1,raw,anti-conservative,anti-conservative,anti-conservative,human
