Accession,suppdata_id,Type,pi0,SRP,pi01,fp,rs,ud
GSE118566,GSE118566_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE106652,GSE106652_Eye_JunctionSeq_allGenesResults.csv.gz,uniform,NA,NA,NA,NA,NA,NA
GSE93709,GSE93709_EBV-Ramos.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE101762,GSE101762_srt1srt2_arivsC2H4.xlsx,conservative,NA,NA,NA,NA,NA,NA
GSE101996,GSE101996_bfx319.2month.table1.csv.gz,uniform,NA,NA,NA,NA,NA,NA
GSE89319,GSE89319_6hpf_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE104527,GSE104527_CCD11_vs_Control_gene_differential_expression.xlsx,conservative,NA,NA,NA,NA,NA,NA
GSE91400,GSE91400_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE94967,GSE94967_gene_exp.diff_A_B_GENE.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE94821,GSE94821_cuffdiff_mock_vs_4hpi.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE61336,GSE61336_results_167_vs_WTZ.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE64854,GSE64854_promoters.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE72178,GSE72178_gene_exp.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE59290,GSE59290_ANTI_isoform_exp.diff.txt.gz,conservative,NA,NA,NA,NA,NA,NA
GSE58405,GSE58405_isoform_exp.diff.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE58379,GSE58379_RBM47_alternative_splicing.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE32038,GSE32038_tss_group_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE109065,GSE109065_Shoot_Cuffdiff_result.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE109461,GSE109461_expression_data.txt.gz,bimodal,NA,NA,NA,NA,NA,NA
GSE101996,GSE101996_bfx319.2month.table2.csv.gz,other,NA,NA,NA,NA,NA,NA
GSE107389,GSE107389_NTC.xlsx,conservative,NA,NA,NA,NA,NA,NA
GSE89319,GSE89319_7hpf_gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE100332,GSE100332_Input_Mett3gene_exp.diff.gz,conservative,NA,NA,NA,NA,NA,NA
GSE82164,GSE82164_Cuffdiff_transcript_differential_expression_testing.tabular.txt.gz,conservative,NA,NA,NA,NA,NA,NA
