PubMedIds,citations
31527679,0
30237493,29
29636505,0
30232000,8
30006480,10
29938200,0
29847580,2
29213115,5
28232382,2
28535373,14
28477620,12
28490437,53
28218918,99
28283064,57
28334833,3
27693352,42
26831080,13
27457619,7
24887486,60
25366321,62
24130511,89
23777766,14
23139640,32
19749754,73
30696696,6
30557299,1
30382101,7
30286177,0
29844106,25
28942917,36
28759029,205
28735896,20
28365152,26
28536147,24
27220689,8
27050949,23
26441307,21
26280535,187
26226348,9
26170170,43
25407482,21
24505323,6
25070765,7
25236449,38
24759410,187
23874799,25
22467213,40
22174696,79
31061469,0
30962359,7
30333510,6
29382818,12
30355798,9
30254108,5
29226242,14
29234067,7
28808314,11
28687623,3
28587590,25
28457744,13
28270611,16
28270101,1
28212626,7
28736425,4
27604489,30
27748404,5
27130590,29
25414334,27
24983519,17
22272348,32
31825839,0
31601804,0
30318302,24
29686265,35
29617667,46
29453249,2
29141987,4
29267318,2
29122982,7
28922540,10
29072292,64
28482101,3
28103799,27
27974439,2
27402898,4
27474798,43
27252488,32
27044866,37
26337391,5
25874893,15
25779048,13
25765343,32
23356439,39
23554905,50
21803849,280
30293774,9
30318446,5
29463595,1
29669250,32
29474919,33
29109083,2
28851752,12
27855634,13
27698142,53
27162029,290
27163203,12
27117415,21
27322481,24
26578681,40
25820424,15
25713378,100
25691465,24
25124037,11
25157961,10
25071213,17
22820378,343
30573729,1
29632077,2
29311085,1
30102403,10
29599291,11
28993609,23
28916784,6
29103953,11
28794155,13
28923004,2
28548655,27
28395340,6
27550178,2
27216293,7
26814964,154
26429922,15
26575290,47
26235224,50
25714721,18
24318729,66
23466345,38
31862975,0
30918280,0
30334814,38
30382087,5
29884675,3
29490684,0
29386110,13
30613266,9
29069514,7
28539487,2
28814543,36
28691928,22
28586434,21
28420736,4
27194706,32
27036967,27
25849782,19
25588944,19
26158411,30
25385795,12
25362847,46
24722551,43
23222956,217
30626865,9
30635626,2
30867594,27
30527808,3
30397358,6
29476097,58
30385785,6
30270106,7
29732402,14
28843847,9
29986945,13
29141209,6
28684426,6
28273136,17
28067667,20
27830782,39
27256882,129
27031341,14
27106267,9
26687677,35
24704492,154
24920004,44
25517466,92
23738017,9
21636547,103
31570894,0
30392959,30
30176335,3
30314757,13
30188321,1
29898663,6
29072327,1
29320736,4
29170413,15
28343999,12
26810370,27
27066825,14
26779600,89
27514986,15
25796517,4
25729011,11
26015596,12
24574460,18
24319002,222
24316715,584
23951250,37
23273992,56
21219599,204
20615941,68
30773782,1
30250253,31
29925689,30
29750823,5
29752282,24
29212019,10
29142311,6
29062054,4
29141232,13
28746361,2
28504700,24
28134930,44
27791168,16
26491169,17
26335107,8
25627458,6
25200078,51
25146970,1
25145541,19
30739797,8
30523110,26
30258231,17
30021836,5
30110631,6
29366785,3
29358049,49
29117564,11
29131830,5
28325815,30
28065665,11
27994070,32
27884981,152
27344946,60
26832407,25
26745669,16
26501517,281
25997461,24
25349425,64
25277408,7
25514182,41
22853646,34
22156210,142
30794557,1
30206211,5
29433542,12
29229751,5
29233921,8
30079402,9
28862252,5
28516957,18
28343820,52
28209901,101
28100166,7
27992436,8
27671336,7
27653678,25
27034506,51
27051068,33
26719341,16
25976475,35
25623529,9
26253201,180
25326327,19
25417113,88
25144235,106
23754418,68
30248353,5
30332632,9
30126925,3
29667349,1
29642370,5
29344809,16
29093215,6
29116112,7
28408459,39
28414820,6
27524419,21
28178527,9
27520106,8
26469858,10
25901726,19
25599562,62
24497069,62
23912945,67
23902433,45
30528352,4
29717119,3
29674644,25
30477572,0
29431742,45
30262552,11
29143738,11
28059768,235
28298438,10
28095508,29
27768893,35
27621057,3
27681415,42
27681425,10
27335461,29
26645687,19
26365193,43
25928745,29
25666827,9
25801509,45
25015099,86
23021777,551
21707733,78
30677094,1
29795293,34
29636475,13
30388456,102
29966009,1
29691232,9
28575526,12
29700293,4
29051139,13
28736215,60
28274739,8
28323063,19
28031476,13
28043953,7
27428748,61
27373925,21
26962949,38
26554031,17
26658215,10
26408339,29
26449881,77
24516132,28
24195446,42
23178591,104
30518568,3
30470739,2
29963730,1
30149837,5
30078710,27
29871630,0
30456392,2
28684471,48
27870856,8
27779093,33
27268234,4
27405981,40
26880751,8
26404698,74
26343579,115
26219960,20
25849079,14
25719202,13
25417103,331
24413663,32
23760953,21
23746443,119
23322637,62
23209430,72
22545152,27
30464212,4
30376879,2
30114334,2
29982439,1
28760335,16
30456368,0
29136238,1
28385453,5
28628110,63
27866838,139
27131741,6
26317468,52
26165924,51
25690954,34
26209310,50
25704818,38
25312495,35
23325109,26
22454233,288
19802589,4
18725995,258
30242093,3
30213970,2
29518416,8
30332658,6
30173913,37
29784917,23
28844694,60
28934278,4
28733351,47
28686666,2
28416701,31
28536289,33
27889318,25
27899379,9
27782110,56
27447986,23
27438699,5
26486724,66
26301841,62
26211836,24
23572557,35
23408899,30
22962860,82
23141545,147
30026551,17
30075627,3
29928949,0
29662191,5
29911994,6
29808006,39
29377004,28
29024245,2
28763457,18
28223401,17
28329691,28
28301478,47
27782158,7
27846570,38
27257258,92
26795246,49
25017066,32
24637117,56
24301467,6
23665227,114
21123653,211
31599722,2
29681442,61
29415883,7
28898113,7
29084811,3
29269485,7
29038337,8
28446598,11
28121980,22
27738108,19
27492368,38
27091931,1
26192745,135
