Accession,annot,organism,taxid,organism2,taxid2
GSE100001,GPL23576,Rattus,10114,NA,NA
GSE100007,GPL20301,Homo sapiens,9606,NA,NA
GSE100009,GPL11154,Homo sapiens,9606,NA,NA
GSE100021,GPL14844,Rattus norvegicus,10116,NA,NA
GSE100027,GPL20301,Homo sapiens,9606,NA,NA
GSE100035,GPL21103,Mus musculus,10090,NA,NA
GSE100045,GPL19757,Caenorhabditis elegans,6239,NA,NA
GSE100056,GPL23584,Mus,10088,NA,NA
GSE100058,GPL22106,Drosophila melanogaster,7227,NA,NA
GSE100061,GPL13112,Mus musculus,10090,NA,NA
GSE100062,GPL21930,Danio rerio,7955,NA,NA
GSE100063,GPL11154,Homo sapiens,9606,NA,NA
GSE100067,GPL17021,Mus musculus,10090,NA,NA
GSE100069,GPL23586,Francisella tularensis subsp. holarctica LVS,376619,NA,NA
GSE100071,GPL17021,Mus musculus,10090,NA,NA
GSE100075,GPL16791,Homo sapiens,9606,NA,NA
GSE100075,GPL18573,Homo sapiens,9606,NA,NA
GSE100077,GPL16791,Homo sapiens,9606,NA,NA
GSE100082,GPL17021,Mus musculus,10090,NA,NA
GSE100082,GPL21493,Mus musculus,10090,NA,NA
GSE100088,GPL13112,Mus musculus,10090,NA,NA
GSE100092,GPL11154,Homo sapiens,9606,NA,NA
GSE100099,GPL18573,Homo sapiens,9606,NA,NA
GSE100100,GPL21493,Mus musculus,10090,NA,NA
GSE100102,GPL19057,Mus musculus,10090,NA,NA
GSE100118,GPL11154,Homo sapiens,9606,NA,NA
GSE100121,GPL17628,Zea mays,4577,NA,NA
GSE100127,GPL18573,Homo sapiens,9606,NA,NA
GSE100149,GPL23575,Mus,10088,NA,NA
GSE100175,GPL21103,Mus musculus,10090,NA,NA
GSE100180,GPL23609,Cymbidium tortisepalum var. longibracteatum,934700,NA,NA
GSE100183,GPL18573,Homo sapiens,9606,NA,NA
GSE100187,GPL17639,Arabidopsis thaliana,3702,NA,NA
GSE100188,GPL18573,Homo sapiens,9606,NA,NA
GSE100203,GPL18694,Rattus norvegicus,10116,NA,NA
GSE100207,GPL11154,Homo sapiens,9606,NA,NA
GSE100212,GPL17021,Mus musculus,10090,NA,NA
GSE100213,GPL23605,Armillaria ostoyae,47428,NA,NA
GSE100215,GPL16791,Homo sapiens,9606,NA,NA
GSE100216,GPL21103,Mus musculus,10090,NA,NA
GSE100223,GPL11154,Homo sapiens,9606,NA,NA
GSE100225,GPL21103,Mus musculus,10090,NA,NA
GSE100232,GPL11154,Homo sapiens,9606,NA,NA
GSE100236,GPL21103,Mus musculus,10090,NA,NA
GSE100244,GPL21493,Mus musculus,10090,NA,NA
GSE100245,GPL23608,Ramichloridium luteum,508918,NA,NA
GSE100266,GPL16791,Homo sapiens,9606,NA,NA
GSE100268,GPL16791,Homo sapiens,9606,NA,NA
GSE100269,GPL18573,Homo sapiens,9606,NA,NA
GSE100274,GPL19057,Mus musculus,10090,NA,NA
GSE100277,GPL13112,Mus musculus,10090,NA,NA
GSE100290,GPL17582,Saccharomyces cerevisiae,4932,NA,NA
GSE100291,GPL16791,Homo sapiens,9606,NA,NA
GSE100292,GPL18573,Homo sapiens,9606,NA,NA
GSE100294,GPL21493,Mus musculus,10090,NA,NA
GSE100296,GPL13112,Mus musculus,10090,NA,NA
GSE100297,GPL21290,Homo sapiens,9606,NA,NA
GSE100305,GPL23611,Meyerozyma caribbica,66948,NA,NA
GSE100327,GPL16791,Homo sapiens,9606,NA,NA
GSE100329,GPL19057,Mus musculus,10090,NA,NA
GSE100332,GPL13112,Mus musculus,10090,NA,NA
GSE100337,GPL18573,Homo sapiens,9606,NA,NA
GSE100338,GPL21290,Homo sapiens,9606,NA,NA
GSE100339,GPL17021,Mus musculus,10090,NA,NA
GSE100339,GPL21051,mouse gut metagenome,410661,NA,NA
GSE100347,GPL11154,Homo sapiens,9606,NA,NA
GSE100349,GPL20670,Rattus norvegicus,10116,NA,NA
GSE100355,GPL20084,Rattus norvegicus,10116,NA,NA
GSE100367,GPL15583,Danio rerio,7955,NA,NA
GSE100372,GPL22971,Cyanidioschyzon merolae strain 10D,280699,NA,NA
GSE100382,GPL11154,Homo sapiens,9606,NA,NA
GSE100384,GPL17021,Mus musculus,10090,NA,NA
